
====================
Pre-training using samples
====================
GV pre-training enabled
Epoch 0 | V_loss=6194.8896 | GV_loss=1451.3644
Epoch 100 | V_loss=3892.6152 | GV_loss=  0.9269
Epoch 200 | V_loss=1249.9132 | GV_loss= 92.2329
Epoch 300 | V_loss=814.4815 | GV_loss=  0.0000
Epoch 400 | V_loss= 75.1145 | GV_loss=  2.3881
Epoch 500 | V_loss=  2.9155 | GV_loss=  0.0000
Epoch 600 | V_loss= 12.6236 | GV_loss=  5.5605
Epoch 700 | V_loss=  4.0722 | GV_loss=  0.0000
Epoch 800 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 1000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 1100 | V_loss=  0.1033 | GV_loss=  0.0000
Epoch 1200 | V_loss=  0.4037 | GV_loss=  0.0000
Epoch 1300 | V_loss=  1.9449 | GV_loss=  0.0000
Epoch 1400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 1500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 1600 | V_loss=  0.2786 | GV_loss=  0.0000
Epoch 1700 | V_loss=243.6078 | GV_loss=  0.0000
Epoch 1800 | V_loss=  0.0600 | GV_loss=  0.0000
Epoch 1900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2200 | V_loss=  1.2734 | GV_loss=  0.0000
Epoch 2300 | V_loss=  0.7693 | GV_loss=  0.0000
Epoch 2400 | V_loss=  2.8183 | GV_loss=  0.0000
Epoch 2500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 2800 | V_loss=  0.1107 | GV_loss=  0.0000
Epoch 2900 | V_loss= 50.4268 | GV_loss= 13.0511
Epoch 3000 | V_loss=  0.0175 | GV_loss=  0.0000
Epoch 3100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 3200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 3300 | V_loss=  0.0227 | GV_loss=  0.0000
Epoch 3400 | V_loss=  0.1887 | GV_loss=  0.0000
Epoch 3500 | V_loss= 17.4204 | GV_loss=  0.0000
Epoch 3600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 3700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 3800 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 3900 | V_loss=  0.4462 | GV_loss=  0.0000
Epoch 4000 | V_loss=  0.3380 | GV_loss=  0.0000
Epoch 4100 | V_loss= 28.1052 | GV_loss=  0.0000
Epoch 4200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 4300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 4400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 4500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 4600 | V_loss=  0.0125 | GV_loss=  0.0000
Epoch 4700 | V_loss=  0.2038 | GV_loss=  0.0000
Epoch 4800 | V_loss=484.7547 | GV_loss=  0.0000
Epoch 4900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5400 | V_loss=  0.6520 | GV_loss=  0.0000
Epoch 5500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5800 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 5900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 6000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 6100 | V_loss=  1.3337 | GV_loss=  0.0000
Epoch 6200 | V_loss= 11.6221 | GV_loss=  0.0000
Epoch 6300 | V_loss=  0.2321 | GV_loss=  0.0000
Epoch 6400 | V_loss=  0.0142 | GV_loss=  0.0000
Epoch 6500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 6600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 6700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 6800 | V_loss=  0.0202 | GV_loss=  0.0000
Epoch 6900 | V_loss=  0.6899 | GV_loss=  0.0000
Epoch 7000 | V_loss=  2.7305 | GV_loss=  0.0000
Epoch 7100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 7200 | V_loss=  0.0153 | GV_loss=  0.0000
Epoch 7300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 7400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 7500 | V_loss=  0.1239 | GV_loss=  0.0000
Epoch 7600 | V_loss=  0.8703 | GV_loss=  0.0000
Epoch 7700 | V_loss=  0.1314 | GV_loss=  0.0000
Epoch 7800 | V_loss=  0.0820 | GV_loss=  0.0000
Epoch 7900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 8000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 8100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 8200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 8300 | V_loss=  0.2081 | GV_loss=  0.0000
Epoch 8400 | V_loss=  0.8642 | GV_loss=  0.0000
Epoch 8500 | V_loss=  0.5696 | GV_loss=  0.0000
