
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
Epoch 0 | V_loss=5893.7891 | GV_loss= 56.8684
Epoch 100 | V_loss=4109.6196 | GV_loss=334.7162
Epoch 200 | V_loss=337.9398 | GV_loss=114.1496
Epoch 300 | V_loss=133.9756 | GV_loss= 19.5289
Epoch 400 | V_loss=115.3725 | GV_loss=  5.6105
Epoch 500 | V_loss= 82.0220 | GV_loss=  3.1756
Epoch 600 | V_loss= 43.2522 | GV_loss=  4.9699
Epoch 700 | V_loss= 32.7681 | GV_loss=  4.3469
Epoch 800 | V_loss= 47.8525 | GV_loss=  5.9036
Epoch 900 | V_loss=129.3169 | GV_loss= 13.1115
Epoch 1000 | V_loss= 26.3400 | GV_loss=  2.5278
Epoch 1100 | V_loss= 22.0535 | GV_loss=  0.1124
Epoch 1200 | V_loss= 29.9088 | GV_loss=  1.4252
Epoch 1300 | V_loss= 94.9455 | GV_loss= 42.9613
Epoch 1400 | V_loss= 20.6936 | GV_loss=  2.8826
Epoch 1500 | V_loss= 18.5854 | GV_loss=  2.4460
Epoch 1600 | V_loss=136.7011 | GV_loss= 60.9471
Epoch 1700 | V_loss= 18.8104 | GV_loss= 13.9281
Epoch 1800 | V_loss= 16.6456 | GV_loss=  6.7020
Epoch 1900 | V_loss= 18.5459 | GV_loss=  1.3394
Epoch 2000 | V_loss= 13.0985 | GV_loss=  0.9250
Epoch 2100 | V_loss= 14.8006 | GV_loss=  0.0000
Epoch 2200 | V_loss= 12.9881 | GV_loss=  2.7424
Epoch 2300 | V_loss= 51.6396 | GV_loss=122.5033
Epoch 2400 | V_loss= 34.0281 | GV_loss= 10.4966
Epoch 2500 | V_loss= 18.0071 | GV_loss=  1.1144
Epoch 2600 | V_loss= 18.2615 | GV_loss=  8.6904
Epoch 2700 | V_loss= 18.1078 | GV_loss=  0.0000
Epoch 2800 | V_loss= 25.2789 | GV_loss= 10.6760
Epoch 2900 | V_loss= 25.3655 | GV_loss=  7.1829
Epoch 3000 | V_loss= 15.3821 | GV_loss=  5.3624
Epoch 3100 | V_loss= 15.0285 | GV_loss= 60.0104
Epoch 3200 | V_loss= 12.4167 | GV_loss=  0.0000
Epoch 3300 | V_loss= 15.7109 | GV_loss=  0.0000
Epoch 3400 | V_loss= 20.8132 | GV_loss=  4.9964
Epoch 3500 | V_loss= 21.5733 | GV_loss=  5.1331
Epoch 3600 | V_loss= 17.0111 | GV_loss=  4.8023
Epoch 3700 | V_loss= 14.3755 | GV_loss=  2.9931
Epoch 3800 | V_loss= 59.8419 | GV_loss= 16.1227
Epoch 3900 | V_loss= 16.5218 | GV_loss=  3.0591
Epoch 4000 | V_loss= 24.5372 | GV_loss= 12.7405
Epoch 4100 | V_loss= 15.9939 | GV_loss=  3.0883
Epoch 4200 | V_loss= 22.5270 | GV_loss=  0.0000
Epoch 4300 | V_loss= 34.1115 | GV_loss= 16.9390
Epoch 4400 | V_loss= 25.6880 | GV_loss=  5.9952
Epoch 4500 | V_loss= 15.6427 | GV_loss=  2.1965
Epoch 4600 | V_loss= 12.5008 | GV_loss=  0.6843
Epoch 4700 | V_loss= 10.2762 | GV_loss=  1.9526
Epoch 4800 | V_loss= 14.2967 | GV_loss=  8.5106
Epoch 4900 | V_loss= 24.8796 | GV_loss=  6.4987
Epoch 5000 | V_loss= 12.1093 | GV_loss=  4.0099
Epoch 5100 | V_loss= 15.3847 | GV_loss=  2.9659
Epoch 5200 | V_loss= 26.9556 | GV_loss=  3.1686
Epoch 5300 | V_loss= 11.2963 | GV_loss= 36.1632
Epoch 5400 | V_loss= 21.2097 | GV_loss=  1.5609
Epoch 5500 | V_loss= 21.6238 | GV_loss=  2.4785
Epoch 5600 | V_loss= 25.7434 | GV_loss=  7.8892
Epoch 5700 | V_loss=  8.3963 | GV_loss=  1.9397
Epoch 5800 | V_loss= 51.5575 | GV_loss= 75.0766
Epoch 5900 | V_loss= 13.5289 | GV_loss=  2.3765
Epoch 6000 | V_loss= 16.1248 | GV_loss=  8.0332
Epoch 6100 | V_loss= 19.5914 | GV_loss=  2.2085
Epoch 6200 | V_loss= 18.0504 | GV_loss=  1.5641
Epoch 6300 | V_loss= 20.8106 | GV_loss=  3.7046
Epoch 6400 | V_loss= 19.1024 | GV_loss=  0.6628
Epoch 6500 | V_loss=  8.7984 | GV_loss=  0.3047
Epoch 6600 | V_loss=  8.9460 | GV_loss=  0.7876
Epoch 6700 | V_loss=  8.3423 | GV_loss=  1.9717
Epoch 6800 | V_loss= 18.1361 | GV_loss=  0.7414
Epoch 6900 | V_loss= 16.4422 | GV_loss= 17.7425
Epoch 7000 | V_loss= 10.7732 | GV_loss=  3.1947
Epoch 7100 | V_loss= 15.3869 | GV_loss=  0.0000
Epoch 7200 | V_loss= 11.9706 | GV_loss=  6.8535
Epoch 7300 | V_loss= 14.5614 | GV_loss=  1.4915
Epoch 7400 | V_loss= 15.2798 | GV_loss=  0.9873
Epoch 7500 | V_loss= 19.4360 | GV_loss= 24.5512
Epoch 7600 | V_loss= 30.9435 | GV_loss= 23.8388
Epoch 7700 | V_loss= 17.5509 | GV_loss=  1.9227
Epoch 7800 | V_loss= 17.2439 | GV_loss=  1.2115
Epoch 7900 | V_loss= 15.2298 | GV_loss=  0.6125
Epoch 8000 | V_loss=  6.4876 | GV_loss=  0.1001
Epoch 8100 | V_loss=  9.6479 | GV_loss=  0.0000
Epoch 8200 | V_loss=  7.8222 | GV_loss=  2.0170
Epoch 8300 | V_loss= 13.1020 | GV_loss=  0.0000
Epoch 8400 | V_loss=  6.2731 | GV_loss=  2.6674
Epoch 8500 | V_loss= 14.8920 | GV_loss= 40.9192
Epoch 8600 | V_loss= 11.8555 | GV_loss=  0.0000
Epoch 8700 | V_loss= 36.0785 | GV_loss=  2.6418
Epoch 8800 | V_loss= 28.0694 | GV_loss=  1.8840
Epoch 8900 | V_loss= 18.2263 | GV_loss=  7.7843
Epoch 9000 | V_loss= 16.9447 | GV_loss=  0.7363
Epoch 9100 | V_loss=  5.4255 | GV_loss=  8.6501
Epoch 9200 | V_loss=  9.2209 | GV_loss=  0.0000
Epoch 9300 | V_loss=  9.3975 | GV_loss=  1.9780
Epoch 9400 | V_loss=  7.9846 | GV_loss=  0.0000
Epoch 9500 | V_loss= 16.1865 | GV_loss=  8.8991
Epoch 9600 | V_loss=  6.5174 | GV_loss=  0.1580
Epoch 9700 | V_loss=  6.5786 | GV_loss=  0.5209
Epoch 9800 | V_loss=  8.2596 | GV_loss=  0.8320
Epoch 9900 | V_loss=  6.0084 | GV_loss=  1.6773
